"openalex_id","title","field","value_final","id","value_main","value_probe","quote_main","quote_probe","grounded_main","consistent","text_source"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","study_design","survey or questionnaire","138701980","survey or questionnaire","survey or questionnaire","Fishing surveys using bottom trawls were performed between May 2006 and June 2007 in offshore areas of the Gulf of Gabès.","Fishing surveys using bottom trawls were performed between May 2006 and June 2007 in offshore areas of the Gulf of Gabès.",TRUE,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","sample_size","198 fishing hauls","138701980","198 fishing hauls","198 fishing hauls","In total, 198 fishing hauls were analysed","In total, 198 fishing hauls were analysed",TRUE,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","years_of_data","2006 and 2007","138701980","2006 and 2007","2006 and 2007","Fishing surveys using bottom trawls were performed between May 2006 and June 2007 in offshore areas of the Gulf of Gabès.","Fishing surveys using bottom trawls were performed between May 2006 and June 2007 in offshore areas of the Gulf of Gabès.",TRUE,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","damage_metric_reported","no","138701980","no","no","not stated","not stated",FALSE,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","damage_estimate","not stated","138701980","not stated","not stated","","",,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","mitigation_tested","no","138701980","no","no","","",,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","mitigation_type","not stated","138701980","not stated","not stated","","",,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","mitigation_outcome_measured","no","138701980","no","no","","",,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","outcome_direction","not stated","138701980","not stated","not stated","","",,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","stakeholder_engagement","not stated","138701980","not stated","not stated","","",,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","compensation_scheme_discussed","no","138701980","no","no","","",,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","funding_source","not stated","138701980","not stated","not stated","","",,TRUE,"title_abstract"
"138701980","Distribution, abundance and population structure of Hexaplex trunculus and Bolinus brandaris (Gastropoda: Muricidae) in offshore areas of the Gulf of Gabès, southern Tunisia","country","Tunisia","138701980","Tunisia","Tunisia","Gulf of Gabès, southern Tunisia","Gulf of Gabès, southern Tunisia",TRUE,TRUE,"title_abstract"
